time,subpopulation_percentage,strain
1.7763568394002505e-14,33.303411131059164,CAL2
1.960110041265498,33.034111310592394,CAL2
4.057771664374165,33.393177737881445,CAL2
6.01788170563964,37.52244165170549,CAL2
7.977991746905117,38.42010771992811,CAL2
9.938101788170592,38.77917414721716,CAL2
12.035763411279268,42.54937163375217,CAL2
13.99587345254474,44.883303411131,CAL2
15.955983493810216,49.01256732495504,CAL2
18.053645116918887,52.78276481149005,CAL2
25.9972489683632,51.70556552962291,CAL2
32.01513067400281,51.43626570915612,CAL2
39.95873452544713,51.07719928186706,CAL2
47.93672627235222,50.98743267504481,CAL2
1.7763568394002505e-14,16.6068222621184,MAM2
1.9257221458046967,23.60861759425485,MAM2
4.057771664374164,24.14721723518842,MAM2
6.017881705639644,27.19928186714536,MAM2
7.977991746905113,28.09694793536795,MAM2
9.938101788170592,29.263913824057354,MAM2
12.035763411279268,32.22621184919201,MAM2
13.995873452544735,36.08617594254928,MAM2
15.955983493810216,33.30341113105915,MAM2
18.053645116918887,31.956912028725213,MAM2
25.9972489683632,32.67504488330333,MAM2
32.01513067400282,35.00897666068215,MAM2
39.92434662998634,34.3806104129263,MAM2
47.93672627235222,33.30341113105915,MAM2
1.9539925233402755e-14,49.999999999999936,SAL9
1.960110041265496,43.89587073608611,SAL9
4.057771664374164,42.90843806104122,SAL9
6.01788170563964,35.72710951526025,SAL9
7.977991746905117,33.6624775583482,SAL9
9.938101788170597,32.31597845601428,SAL9
12.03576341127926,25.583482944344624,SAL9
13.99587345254474,19.389587073608524,SAL9
15.955983493810216,18.043087971274588,SAL9
18.053645116918887,15.529622980251249,SAL9
25.9972489683632,15.619389587073512,SAL9
32.01513067400282,13.913824057450526,SAL9
39.95873452544713,14.901256732495412,SAL9
47.93672627235223,16.24775583482932,SAL9
